source_URLs,Discipline,Type,Level,Skill
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,1,"Sense the Beast: The vampire can sense the beast within other vampires, mortals and supernatural creatures.​​"
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,2,"Atavism: The vampire can cause an animal to temporarily revert to their primal instincts, forcing them to attack anyone nearby or to flee the scene."
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,3,Unliving Hive: Amalgam Obfuscate 2. The vampire can become a permanent home for swarms of flies or cockroaches or similar small creatures.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,4,Subsume the Spirit: The vampire can mentally take over an animal target.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,5,Drawing Out the Beast: The vampire can cause a target to immediately frenzy.
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,6,Tier of Souls: Gain memories or powers from the blood you drink
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,7,"Beast Shard: Split up your Beast and instill shards in others, making them more prone to Frenzy and making them more susceptible to your Disciplines"
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,8,Unchain the Ferocious Beast: Cause a target's Beast to tear at them from within
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,9,Unchain the Beast: Cause a target's Beast to tear at them from within
https://whitewolf.fandom.com/wiki/Animalism_(VTM),Animalism,skill,10,Plot Device
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,1,"Shape of the Sanguine Sacrament: Allows the vampire manipulate their (or someone else's) blood, to form intricated images, such as a simple message or a geometrical shape."
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,2,"Extinguish Vitae: The user can intentionally remove the unlife-giving properties of some of the Blood in another vampire, stoking their Hunger as the victim’s inner reserves curdle into impotence"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,3,"Scorpion’s Touch: The vampire can transmute some of their Blood into a paralyzing poison, capable of affecting mortals and vampires alike"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,4,"Theft of Vitae: Through mystical means, the vampire opens a wound in a major artery of a mortal victim, blood shooting out through the air in a stream toward the open mouth of the user."
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,skill,5,"Cauldron of Blood: This gruesome power lets the user boil the blood of a victim in their own veins, causing massive damage and excruciating pain"
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,1,Ward Against Ghouls
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,2,Warding Circle against Ghouls
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,3,Warding Circle against Spirits
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,4,Web of Hunger: Web of Hunger is an extension of the Extinguish Vitae ritual (see Vampire p. 273). Instead of controlling a single person’s vitae slowly and corrosively draining vitae from multiple targets.
https://whitewolf.fandom.com/wiki/Blood_magic_(VTM),Blood_Sorcery,ritual,5,Warding Circle against Cainites
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,1,Rapid Reflexes: The vampire suffers no penalty to dodging gunfire without cover.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,2,Fleetness: The vampire can add their Celerity to non-combat Dexterity checks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,3,Traversal: The vampire can run up walls or across water with a successful check.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,4,Unerring Aim: Amalgam Auspex 2. The vampire can prevent their target from dodging or defending against the vampire's ranged attacks.
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,5,"Split Second: The vampire can supercede the Storyteller's narration and perform an action that only requires a few seconds like get through a door before it closes, roll out of the way of an explosion etc."
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,6,"Momentum: Focus your Celerity into one instant, increasing your strength"
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,7,Stutter-Step: Use your Celerity to gain bonuses to defense
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,8,Zephyr: Move so fast that you seem to defy gravity
https://whitewolf.fandom.com/wiki/Celerity_(VTM),Celerity,skill,9,"Between the Ticks: Expend a blood and a Willpower, you gain an automatic success on all attacks delivered to an opponent with less than advanced Celerity. You have an extra action against those with advanced Celerity. All attacks delivered by those with less than advanced Celerity are considered to be automatic failures. You can declare fair escape at any time"
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,1,Compel: The vampire can issue a short sentence command to the target.
https://whitewolf.fandom.com/wiki/Dominate_(VTM),Dominate,skill,2,Domitor's Favor: Makes it more difficult for a vampire's Blood Bonded thrall to act against them.
